date,time,R1(ohm),R2(ohm),temp(C),pres(mbar)
3240,-999999.33,-999999.33,20.23,1010.4
3270,-999999.33,-999999.33,20.25,1010.2
3300,-999999.33,-999999.33,20.25,1010.2
3330,-999999.33,-999999.33,20.23,1009.9
3360,-999999.33,-999999.33,20.03,1009.8
3390,-999999.33,-999999.33,20.11,1010.5
3420,-999999.33,-999999.33,20.01,1009.8
3450,-999999.33,-999999.33,19.87,1010.2
3480,-999999.33,-999999.33,19.78,1010.1
3510,-999999.33,-999999.33,19.36,1007.8
3540,21.01,27.33,18.69,1010.3
3570,-999999.33,-999999.33,18.59,1009.8
3600,-999999.33,-999999.33,18.52,1010.2
3630,-999999.33,-999999.33,18.31,1010.0
3660,-999999.33,-999999.33,18.34,1010.1
3690,-999999.33,-999999.33,18.47,1010.6
3720,-999999.33,-999999.33,18.50,1010.4
3750,-999999.33,-999999.33,18.59,1010.3
3780,-999999.33,-999999.33,18.62,1010.1
3810,-999999.33,-999999.33,18.61,1010.1
3840,-999999.33,-999999.33,18.62,1010.1
3870,-999999.33,-999999.33,18.62,1010.4
3900,-999999.33,-999999.33,17.80,1009.8
3930,-999999.33,-999999.33,16.84,1010.2
3960,-999999.33,-999999.33,16.14,1010.1
3990,-999999.33,-999999.33,16.02,1010.4
4020,428.92,467.47,15.82,1015.2
4050,443.83,460.74,12.48,1016.2
4080,447.81,459.22,12.01,1015.5
4110,307.18,313.31,11.81,1014.6
4140,382.45,392.63,11.70,1013.7
4170,350.16,358.15,11.64,1013.8
4200,378.23,388.66,11.59,1014.2
4230,375.52,388.48,11.55,1014.4
4260,376.45,387.19,11.53,1013.4
4290,349.58,358.27,11.50,1014.0
4320,423.04,440.92,11.46,1014.4
4350,401.13,415.06,11.46,1014.4
4380,394.22,404.78,11.44,1013.9
4410,415.89,432.97,11.46,1014.7
4440,444.69,461.61,11.41,1014.1
4470,367.25,374.05,11.46,1014.4
4500,353.11,363.88,11.41,1013.8
4530,363.06,377.85,11.46,1014.9
4560,389.13,404.45,11.46,1014.2
4590,384.36,402.42,11.44,1013.7
4620,402.60,421.37,11.46,1013.7
4650,495.21,518.82,11.52,1015.0
4680,474.34,492.37,11.53,1014.3
4710,478.29,495.10,11.55,1015.1
4740,480.89,499.42,11.59,1014.7
4770,500.20,524.23,11.59,1014.4
4800,523.79,552.34,11.61,1015.2
4830,519.17,547.25,11.66,1015.8
4860,513.39,541.46,11.66,1014.6
4890,520.60,549.46,11.64,1014.6
4920,486.32,511.14,11.61,1014.5
4950,529.72,560.35,11.63,1014.3
4980,531.26,562.84,11.64,1014.8
5010,526.87,557.04,11.63,1014.3
5040,539.41,572.86,11.63,1015.5
5070,534.26,569.20,11.63,1014.5
5100,530.68,564.80,11.63,1015.3
5130,501.83,533.25,11.61,1015.2
5160,504.06,531.86,11.64,1014.1
5190,527.28,559.01,11.61,1014.0
5220,448.52,469.34,11.61,1015.0
5250,516.94,547.55,11.61,1014.5
5280,523.04,555.26,11.59,1014.7
5310,539.44,575.99,11.59,1014.7
5340,491.57,522.24,11.57,1014.2
5370,490.55,520.00,11.53,1015.3
5400,537.65,573.17,11.55,1015.6
5430,528.00,560.91,11.55,1015.1
5460,533.97,569.16,11.53,1015.6
5490,524.32,557.79,11.53,1015.1
5520,529.30,563.98,11.50,1015.0
5550,532.33,568.44,11.57,1016.1
5580,528.38,564.54,11.52,1015.5
5610,528.82,564.64,11.44,1015.6
5640,533.31,569.09,11.52,1016.3
5670,517.92,552.98,11.46,1015.7
5700,520.16,555.19,11.42,1016.3
5730,528.91,563.91,11.44,1016.4
5760,516.31,551.34,11.42,1016.3
5790,511.39,542.72,11.44,1015.9
5820,502.88,538.04,11.39,1016.5
5850,496.00,527.52,11.39,1016.3
5880,490.68,524.27,11.37,1016.2
5910,482.81,515.75,11.41,1016.3
5940,476.61,509.05,11.39,1016.5
5970,477.35,507.61,11.39,1016.8
6000,471.16,501.34,11.41,1017.0
6030,462.56,493.04,11.41,1017.5
6060,460.18,486.15,11.44,1017.1
6090,460.68,489.66,11.42,1017.8
6120,471.11,501.50,11.41,1018.0
6150,461.22,490.44,11.44,1018.1
6180,464.60,496.01,11.44,1017.9
6210,461.48,490.33,11.46,1017.6
6240,469.44,501.54,11.44,1017.9
6270,467.02,496.94,11.41,1017.8
6300,458.88,483.28,11.46,1018.4
6330,445.01,470.41,11.48,1018.7
6360,441.57,467.79,11.50,1019.4
6390,443.09,468.65,11.50,1019.2
6420,-999999.33,-999999.33,11.46,1009.5
6450,-999999.33,-999999.33,12.23,1010.0
6480,-999999.33,-999999.33,12.68,1009.4
6510,144.26,151.65,12.03,1010.6
6540,473.55,540.14,12.14,1009.8
6570,304.39,319.61,12.01,1011.1
6600,398.61,428.87,11.70,1010.0
6630,168.15,181.37,11.99,1010.8
6660,173.96,188.75,11.97,1010.8
6690,278.04,303.81,11.85,1012.2
6720,260.21,281.15,11.85,1011.0
6750,284.67,311.40,11.77,1011.6
6780,305.21,334.90,11.77,1012.1
6810,232.76,251.20,11.85,1012.0
6840,316.32,345.02,11.81,1012.4
6870,284.39,306.33,11.77,1012.3
6900,244.08,263.68,11.75,1012.3
6930,190.57,201.77,11.88,1013.3
6960,239.81,252.74,11.85,1013.5
6990,336.67,362.05,11.68,1013.6
7020,366.61,394.55,11.66,1013.9
7050,371.63,397.14,11.61,1014.0
7080,359.91,386.04,11.61,1014.0
7110,366.25,397.40,11.59,1014.4
7140,367.35,391.54,11.59,1014.4
7170,379.13,408.61,11.55,1015.9
7200,344.30,368.36,11.57,1015.6
7230,386.57,415.25,11.57,1015.9
7260,374.54,400.42,11.59,1015.4
