YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/1,19:55:45,52.45,49.30,10.20589,1295.685,8.651811
2021/4/1,20:0:46,51.26,48.42,10.22462,1299.059,8.646955
2021/4/1,20:5:46,51.61,48.08,10.20589,1301.572,8.660806
2021/4/1,20:10:47,53.03,49.91,10.16843,1306.085,8.645039
2021/4/1,20:15:48,53.22,49.99,10.20589,1310.274,8.654534
2021/4/1,20:20:49,50.33,47.16,10.20589,1312.322,8.65605
2021/4/1,20:25:49,51.90,48.33,10.22462,1313.648,8.681323
2021/4/1,20:30:50,52.02,48.37,10.20589,1316.929,8.693338
2021/4/1,20:35:51,39.52,34.81,10.1497,1320.626,8.622808
2021/4/1,20:40:52,38.46,32.80,10.09349,1321.252,8.578977
2021/4/1,20:45:52,36.56,31.02,10.03726,1322.901,8.525578
2021/4/1,20:50:53,31.55,24.52,9.943515,1325.222,8.43846
2021/4/1,20:55:54,29.10,22.86,9.887245,1326.614,8.36066
2021/4/1,21:0:55,28.30,21.35,9.812194,1327.702,8.299627
2021/4/1,21:5:55,27.28,20.19,9.793427,1329.956,8.235291
2021/4/1,21:10:56,25.98,19.06,9.737113,1331.091,8.199802
2021/4/1,21:15:57,25.39,18.12,9.680783,1330.692,8.176514
2021/4/1,21:20:58,23.94,17.02,9.624436,1331.315,8.109891
2021/4/1,21:25:58,23.27,16.13,9.586863,1331.475,8.076241
2021/4/1,21:30:59,23.08,15.84,9.549282,1332.401,8.042276
2021/4/1,21:36:0,22.17,15.32,9.530489,1332.609,8.006813
2021/4/1,21:41:1,21.65,15.34,9.511694,1331.539,7.993308
2021/4/1,21:46:1,21.37,15.02,9.492897,1331.747,7.976584
2021/4/1,21:51:2,21.38,14.77,9.474098,1332.21,7.947582
2021/4/1,21:56:3,20.50,14.32,9.436496,1331.603,7.925937
2021/4/1,22:1:4,20.52,14.28,9.455297,1329.862,7.917678
2021/4/1,22:6:4,19.80,14.47,9.436496,1329.303,7.907607
2021/4/1,22:11:5,20.13,14.56,9.417691,1328.744,7.895015
2021/4/1,22:16:6,19.29,14.08,9.398885,1327.163,7.878906
2021/4/1,22:21:7,19.02,14.28,9.398885,1325.375,7.862895
2021/4/1,22:26:7,18.90,13.97,9.380078,1324.305,7.855946
2021/4/1,22:31:8,18.33,14.42,9.380078,1323.028,7.846681
2021/4/1,22:36:9,18.52,14.41,9.361268,1320.681,7.825536
2021/4/1,22:41:10,18.35,14.11,9.361268,1317.87,7.82624
2021/4/1,22:46:10,17.80,14.12,9.342457,1317.312,7.834599
2021/4/1,22:51:11,18.33,14.03,9.361268,1315.316,7.822818
2021/4/1,22:56:12,17.87,14.07,9.361268,1314.55,7.829863
2021/4/1,23:1:13,18.68,14.92,9.398885,1312.089,7.863399
2021/4/1,23:6:13,17.93,14.61,9.361268,1310.973,7.829764
2021/4/1,23:11:14,18.22,14.39,9.361268,1309.695,7.836711
2021/4/1,23:16:15,17.75,14.35,9.398885,1307.49,7.832786
2021/4/1,23:21:16,18.80,15.32,9.417691,1304.726,7.89673
2021/4/1,23:26:16,18.16,14.86,9.398885,1302.891,7.875684
