YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/3/16,23:26:39,36.83,-0.85,21.7205,1006.646,18.82494
2021/3/16,23:26:51,38.84, 2.18,21.66556,1006.538,18.84791
2021/3/16,23:27:7,41.87,-1.21,21.62893,1006.466,18.83392
2021/3/16,23:42:22,36.69,25.58,21.06115,1006.658,18.61164
2021/3/16,23:42:38,39.00,22.41,21.04284,1006.622,18.56412
2021/3/16,23:42:50,42.27,17.88,21.02452,1006.586,18.63028
2021/3/17,0:16:3,28.93,49.00,19.28316,1006.806,18.45979
2021/3/17,0:16:17,32.60,48.86,19.28316,1006.545,18.41068
2021/3/17,0:16:37,38.64,43.14,19.30154,1006.581,18.52431
2021/3/17,0:28:50,47.31,51.68,19.41182,1006.538,18.06266
2021/3/17,0:29:1,48.26,50.72,19.41182,1006.538,18.09231
2021/3/17,0:29:11,54.58,45.84,19.41182,1006.8,18.05756
2021/3/17,1:3:58,180.52,-19.25,18.30608,1006.433,17.75982
2021/3/17,1:4:9,170.04,-8.85,18.32456,1006.469,17.7595
2021/3/17,1:4:20,171.36,-9.51,18.32456,1006.469,17.76467
2021/3/17,1:5:48,163.17,-2.05,18.47236,1006.502,17.70422
2021/3/17,1:5:59,157.36, 3.39,18.49082,1006.539,17.69262
2021/3/17,1:6:12,159.61, 2.36,18.49082,1006.539,17.70376
2021/3/17,14:24:50,-160566.94,-235041.98,18.34304,1002.596,17.32222
2021/3/17,14:25:22,138.65,123.56,18.32456,1002.56,16.95257
2021/3/17,14:25:37,137.01,130.19,18.32456,1002.299,16.98311
2021/3/17,14:25:56,136.69,129.77,18.30608,1002.523,16.95377
2021/3/17,14:45:45,289.50,166.82,18.34304,1002.335,16.71871
2021/3/17,14:45:56,283.98,176.39,18.30608,1002.262,16.72535
2021/3/17,14:46:7,274.26,182.91,18.28759,1002.226,16.67665
2021/3/17,14:58:41,480.51,239.05,18.23213,1002.116,16.60722
2021/3/17,14:58:54,456.68,266.63,18.21363,1002.079,16.61454
2021/3/17,14:59:6,429.11,291.87,18.19514,1002.043,16.60711
2021/3/17,15:22:24,668.61,695.41,17.80634,1001.534,16.61378
2021/3/17,15:22:35,681.01,697.69,17.80634,1001.795,16.61076
2021/3/17,15:22:46,692.10,683.16,17.78781,1001.498,16.54461
2021/3/17,15:35:56,1194.61,1195.62,17.80634,1001.795,16.60561
2021/3/17,15:36:9,1217.27,1187.80,17.78781,1001.758,16.48564
2021/3/17,15:36:22,1224.85,1172.62,17.78781,1001.758,16.4812
2021/3/17,15:58:17,1567.34,2423.68,17.78781,1001.237,16.57781
2021/3/17,15:58:28,1582.81,2390.19,17.76927,1001.2,16.56805
2021/3/17,15:58:40,1590.71,2378.82,17.76927,1001.461,16.56155
2021/3/17,16:11:16,3159.27,4152.35,17.50957,1001.207,16.53777
2021/3/17,16:11:28,3152.38,4169.07,17.49101,1000.91,16.5103
2021/3/17,16:11:40,3176.74,4106.68,17.49101,1001.43,16.48651
2021/3/17,16:27:47,5669.31,9601.63,17.60236,1000.87,16.53461
2021/3/17,16:28:0,5585.37,9361.12,17.58381,1000.573,16.41808
2021/3/17,16:28:13,5678.44,9108.52,17.56525,1001.057,16.40429
2021/3/17,16:42:49,8812.96,26395.04,17.76927,1000.94,16.53081
2021/3/17,16:43:4,9252.60,23801.52,17.76927,1001.2,16.48738
2021/3/17,16:43:17,9083.33,21130.20,17.75073,1001.164,16.4695
2021/4/1,13:54:59,8700.81,-15215.39,17.15655,1002.328,17.47189
2021/4/1,14:0:0,-161120.21,-215708.52,17.28669,1002.586,17.40092
2021/4/1,14:5:1,6282.48,-57000.42,17.56525,1002.358,17.67599
2021/4/1,14:10:1,-664471.53,-686957.79,17.60236,1002.432,17.78241
2021/4/1,14:15:2,-496541.17,-528708.03,17.58381,1002.135,17.72144
2021/4/1,14:20:3,-497582.77,-529291.44,17.60236,1002.432,17.79046
2021/4/1,14:25:3,-832327.84,-843874.26,17.15655,1002.328,17.00525
2021/4/1,14:30:4,-497721.72,-527541.35,16.187,1002.22,16.41015
2021/4/1,14:35:5,-497494.84,-526041.36,15.94384,1009.257,16.25052
2021/4/1,14:40:6,-162047.28,-211708.50,15.86896,1009.107,16.24179
2021/4/1,14:45:6,-665558.77,-684582.85,15.92512,1009.219,16.34885
2021/4/1,14:50:7,-329969.57,-372875.00,16.05611,1009.222,16.54026
2021/4/1,14:55:8,578.78,345.46,17.24951,1008.754,16.84856
2021/4/1,15:0:9,-330137.30,-370208.29,16.80286,1008.901,16.2376
2021/4/1,15:5:9,243.02,196.83,11.93479,1014.32,11.29276
2021/4/1,15:10:10,279.67,155.21,11.4566,1014.115,11.31738
2021/4/1,15:15:11,349.35,167.72,11.53318,1014.786,11.51297
2021/4/1,15:20:12,380.17,170.97,11.62888,1014.724,11.66847
2021/4/1,15:25:12,348.80,151.16,11.60974,1014.942,11.6757
2021/4/1,15:30:13,368.86,171.58,11.51404,1016.545,11.62134
2021/4/1,15:35:14,343.99,167.84,11.41829,1016.606,11.5061
2021/4/1,15:40:14,312.49,150.69,11.49489,1018.047,11.59025
2021/4/1,15:45:15,261.76,129.97,11.62888,1019.863,11.7396
2021/4/1,15:50:16,270.79,138.43,11.53318,1021.979,11.62967
2021/4/1,15:55:17,269.35,135.10,11.41829,1023.797,11.46803
2021/4/1,16:0:17,294.40,154.89,11.13077,1026.028,11.22355
2021/4/1,16:5:18,305.80,163.38,11.30333,1029.209,11.39829
2021/4/1,16:10:19,315.75,169.29,11.20748,1032.091,11.32425
2021/4/1,16:15:20,508.90,318.86,10.36204,1037.508,10.39613
2021/4/1,16:20:20,545.99,350.12,10.13085,1041.377,10.25055
2021/4/1,16:25:21,448.41,272.41,10.28501,1043.496,10.43494
2021/4/1,16:30:22,679.12,469.51,10.0923,1048.468,10.21416
2021/4/1,16:35:23,635.95,469.77,10.13085,1053.16,10.30121
2021/4/1,16:40:23,410.63,255.64,10.72756,1057.252,10.69263
2021/4/1,16:45:24,547.41,365.25,10.34279,1062.324,10.59697
2021/4/1,16:50:25,657.69,478.06,10.0923,1066.396,10.40285
2021/4/1,16:55:25,799.55,615.00,9.841494,1074.813,10.12275
2021/4/1,17:0:26,712.74,533.72,9.802881,1080.36,10.08983
2021/4/1,17:5:27,695.57,537.92,9.841494,1083.773,10.1624
2021/4/1,17:10:28,422.70,270.02,10.32353,1089.7,10.60635
2021/4/1,17:15:28,483.75,309.65,10.36204,1095.167,10.66163
2021/4/1,17:20:29,721.16,539.49,10.01516,1100.031,10.31661
2021/4/1,17:25:30,752.07,549.35,9.880098,1106.897,10.07004
2021/4/1,17:30:31,601.90,413.51,9.957287,1113.984,10.25086
2021/4/1,17:35:31,563.96,389.52,10.05373,1121.629,10.38786
2021/4/1,17:40:32,792.01,631.37,9.822188,1128.781,10.16556
2021/4/1,17:45:33,1593.01,1518.08,9.513056,1136.769,9.768735
2021/4/1,17:50:34,1047.85,878.25,9.590383,1142.065,9.981436
2021/4/1,17:55:34,1592.10,1532.65,9.455041,1150.702,9.769039
2021/4/1,18:0:35,1327.44,1185.97,9.493719,1158.211,9.845379
2021/4/1,18:5:36,1252.27,1107.14,9.532391,1166.488,9.884503
2021/4/1,18:10:36,1729.92,1684.74,9.416355,1173.629,9.750877
2021/4/1,18:15:37,648.53,451.00,9.706318,1180.976,10.17187
2021/4/1,18:20:38,743.72,543.04,9.841494,1187.7,10.25341
2021/4/1,18:25:39,1041.82,820.15,9.706318,1194.283,10.01605
2021/4/1,18:30:39,979.10,739.25,9.667681,1201.609,10.01473
2021/4/1,18:35:40,1085.53,779.95,9.590383,1208.328,9.986826
2021/4/1,18:40:41,1160.10,900.47,9.532391,1214.069,9.929867
2021/4/1,18:45:42,1248.74,996.23,9.474381,1220.831,9.863439
2021/4/1,18:50:42,1298.83,1085.82,9.435699,1226.617,9.828427
2021/4/1,18:55:43,1455.34,1220.57,9.358314,1232.561,9.760521
2021/4/1,19:0:44,1276.04,1022.73,9.358314,1237.675,9.805229
2021/4/1,19:5:45,1602.64,1384.06,9.280898,1243.104,9.681968
2021/4/1,19:10:45,1734.67,1533.50,9.222818,1249.348,9.642953
2021/4/1,19:15:46,1246.13,979.26,9.222818,1255.483,9.670998
2021/4/1,19:20:47,1366.22,1124.57,9.222818,1259.318,9.635337
2021/4/1,19:25:47,1390.71,1133.51,9.164721,1264.536,9.626117
2021/4/1,19:30:48,1479.23,1180.39,9.164721,1269.904,9.630878
2021/4/1,19:35:49,1879.18,1612.33,9.12598,1274.66,9.607323
2021/4/1,19:40:50,836.33,563.42,9.24218,1278.542,9.722611
2021/4/1,19:45:50,926.07,649.64,9.222818,1282.581,9.683594
2021/4/1,19:50:51,989.86,699.75,9.222818,1286.416,9.673635
2021/4/1,19:55:52,1030.96,741.54,9.203454,1291.989,9.675565
2021/4/1,20:0:53,982.49,696.84,9.203454,1294.801,9.683594
2021/4/1,20:5:53,968.98,681.84,9.203454,1298.124,9.682577
2021/4/1,20:10:54,1089.30,777.34,9.184088,1302.162,9.676175
2021/4/1,20:15:55,1212.66,930.81,9.203454,1306.049,9.679529
2021/4/1,20:20:56,1140.84,856.08,9.203454,1308.349,9.684709
2021/4/1,20:25:56,982.50,708.76,9.222818,1309.679,9.694135
2021/4/1,20:30:57,970.34,693.16,9.222818,1313.258,9.707355
2021/4/1,20:35:58,192.05,69.01,9.12598,1316.576,9.554654
2021/4/1,20:40:59,131.91,28.80,9.067856,1317.186,9.507837
2021/4/1,20:45:59,93.32, 8.77,9.009715,1318.818,9.441085
2021/4/1,20:51:0,78.82, 0.69,8.951557,1321.216,9.345302
2021/4/1,20:56:1,71.17,-4.60,8.873989,1322.539,9.284687
2021/4/1,21:1:1,69.24,-6.50,8.815793,1323.658,9.23646
2021/4/1,21:6:2,64.40,-8.01,8.757581,1325.799,9.195229
2021/4/1,21:11:3,60.86,-10.69,8.699352,1326.918,9.134154
2021/4/1,21:16:4,60.86,-11.34,8.699352,1326.662,9.128075
2021/4/1,21:21:4,57.10,-11.76,8.641107,1327.269,9.073574
2021/4/1,21:26:5,55.26,-11.55,8.602267,1327.164,9.034298
2021/4/1,21:31:6,53.80,-9.42,8.56342,1328.334,9.007368
2021/4/1,21:36:7,52.13,-10.69,8.524567,1328.229,8.983512
2021/4/1,21:41:7,51.68,-11.52,8.524567,1327.463,8.967118
2021/4/1,21:46:8,51.75,-12.04,8.505136,1327.41,8.948385
2021/4/1,21:51:9,50.93,-11.24,8.485705,1327.868,8.928288
2021/4/1,21:56:10,51.37,-12.41,8.446836,1327.251,8.911808
2021/4/1,22:1:10,50.44,-12.01,8.446836,1325.465,8.895707
2021/4/1,22:6:11,50.99,-11.53,8.4274,1324.647,8.891049
2021/4/1,22:11:12,50.34,-11.70,8.4274,1324.136,8.886389
2021/4/1,22:16:12,51.05,-12.28,8.407961,1322.807,8.868877
2021/4/1,22:21:13,50.20,-12.26,8.407961,1321.021,8.866653
2021/4/1,22:26:14,49.65,-14.38,8.38852,1319.947,8.854038
2021/4/1,22:31:15,49.86,-12.37,8.38852,1318.926,8.843328
2021/4/1,22:36:15,49.99,-12.80,8.369077,1316.322,8.837569
2021/4/1,22:41:16,50.05,-11.55,8.369077,1313.77,8.834531
2021/4/1,22:46:17,50.05,-12.05,8.349633,1313.208,8.827758
2021/4/1,22:51:18,49.99,-13.12,8.369077,1310.963,8.828567
2021/4/1,22:56:18,48.94,-12.66,8.369077,1310.198,8.828061
2021/4/1,23:1:19,51.32,-11.02,8.38852,1307.698,8.876969
2021/4/1,23:6:20,51.29,-12.50,8.369077,1306.625,8.848178
2021/4/1,23:11:21,50.79,-11.22,8.369077,1305.349,8.844134
2021/4/1,23:16:21,50.15,-12.47,8.369077,1303.308,8.841306
2021/4/1,23:21:22,52.35,-13.82,8.4274,1300.402,8.868977
2021/4/1,23:26:23,51.48,-12.08,8.38852,1298.766,8.855453
2021/4/1,23:31:23,52.53,-12.34,8.407961,1295.501,8.879703
2021/4/1,23:36:24,55.02,-11.07,8.407961,1293.459,8.90411
2021/4/1,23:41:25,51.70,-12.54,8.446836,1290.244,8.874541
2021/4/1,23:46:26,59.35,-9.55,8.505136,1288.101,8.975217
2021/4/1,23:51:26,77.29, 0.97,8.602267,1284.783,9.124428
2021/4/1,23:56:27,57.70,-10.87,8.505136,1281.72,8.828259
2021/4/2,0:1:28,94.46, 6.06,8.699352,1279.165,9.201201
2021/4/2,0:6:29,98.06,14.16,8.718763,1276.918,9.175277
2021/4/2,0:11:29,114.09,18.41,8.757581,1273.699,9.266552
2021/4/2,0:16:30,102.51,16.88,8.699352,1270.994,9.213157
2021/4/2,0:21:31,146.19,34.75,8.796391,1267.415,9.285397
2021/4/2,0:26:32,153.03,41.19,8.776987,1266.343,9.26645
2021/4/2,0:31:32,166.61,54.99,8.757581,1262.462,9.224606
2021/4/2,0:36:33,308.45,150.85,8.757581,1259.142,9.248821
2021/4/2,0:41:34,277.72,127.47,8.738173,1256.027,9.20495
2021/4/2,0:46:35,335.80,177.64,8.738173,1252.452,9.216805
2021/4/2,0:51:35,186.47,76.29,8.718763,1248.827,9.175586
2021/4/2,0:56:36,482.58,294.04,8.699352,1244.692,9.189462
2021/4/2,1:1:37,273.33,132.06,8.699352,1240.606,9.154902
2021/4/2,1:6:37,898.39,674.17,8.660523,1239.487,9.138105
2021/4/2,1:11:38,992.58,749.34,8.621688,1235.558,9.112781
2021/4/2,1:16:39,1156.46,935.51,8.621688,1231.729,9.082794
2021/4/2,1:21:40,141.92,32.22,8.718763,1228.142,9.205356
2021/4/2,1:26:40,906.98,677.56,8.621688,1224.835,9.093027
2021/4/2,1:31:41,414.23,252.25,8.641107,1222.841,9.113894
2021/4/2,1:36:42,1042.06,805.33,8.582845,1219.121,9.042505
2021/4/2,1:41:43,1108.46,871.14,8.582845,1216.568,9.034703
2021/4/2,1:46:43,1574.24,1365.16,8.56342,1214.222,9.014338
2021/4/2,1:51:44,770.83,560.93,8.582845,1210.441,9.035717
2021/4/2,1:56:45,1547.43,1312.03,8.524567,1209.276,8.98939
2021/4/2,2:1:46,676.37,459.07,8.582845,1206.101,9.082389
2021/4/2,2:6:46,645.93,436.62,8.582845,1203.293,9.070129
2021/4/2,2:11:47,1114.18,914.71,8.524567,1200.342,9.00433
2021/4/2,2:16:48,1850.11,1734.38,8.466272,1199.688,8.914638
2021/4/2,2:21:48,1373.07,1155.39,8.485705,1198.97,8.950912
2021/4/2,2:26:49,2476.26,2522.84,8.446836,1196.068,8.872812
2021/4/2,2:31:50,1813.80,1685.72,8.446836,1196.323,8.892055
2021/4/2,2:36:51,1683.00,1525.29,8.446836,1194.792,8.903198
2021/4/2,2:41:51,1995.80,1896.34,8.4274,1194.234,8.872812
2021/4/2,2:46:52,2261.90,2247.08,8.407961,1193.166,8.852652
2021/4/2,2:51:53,2123.81,2087.13,8.407961,1193.421,8.854767
2021/4/2,2:56:54,2608.16,2730.39,8.407961,1192.911,8.832397
2021/4/2,3:1:54,2847.92,3021.84,8.38852,1192.352,8.818666
2021/4/2,3:6:55,2520.01,2587.99,8.369077,1193.581,8.822397
2021/4/2,3:11:56,2548.74,2640.28,8.38852,1192.863,8.812221
2021/4/2,3:16:57,2423.01,2476.38,8.38852,1192.863,8.813228
2021/4/2,3:21:57,2804.91,2941.40,8.369077,1194.857,8.791983
2021/4/2,3:26:58,2270.91,2299.55,8.369077,1195.623,8.798568
2021/4/2,3:31:59,2354.48,2434.21,8.349633,1196.596,8.791983
2021/4/2,3:36:59,2534.94,2633.16,8.349633,1197.872,8.791983
2021/4/2,3:42:0,2913.29,3237.76,8.349633,1197.872,8.772143
2021/4/2,3:47:1,2723.58,2863.95,8.349633,1201.954,8.775486
2021/4/2,3:52:2,2405.20,2457.55,8.369077,1202.767,8.788852
2021/4/2,3:57:2,2596.59,2768.30,8.330187,1203.182,8.764771
2021/4/2,4:2:3,2682.32,2805.63,8.330187,1206.499,8.765274
2021/4/2,4:7:4,2582.34,2757.82,8.330187,1207.01,8.767697
2021/4/2,4:12:5,2849.11,3108.28,8.310739,1210.279,8.751577
2021/4/2,4:17:5,2304.63,2363.62,8.330187,1211.603,8.774068
2021/4/2,4:22:6,3123.64,3529.14,8.310739,1214.616,8.744292
2021/4/2,4:27:7,2558.58,2758.99,8.330187,1216.195,8.752988
2021/4/2,4:32:8,2825.83,2976.60,8.310739,1220.23,8.749656
2021/4/2,4:37:8,2784.99,3047.22,8.310739,1223.036,8.749656
2021/4/2,4:42:9,2720.51,2949.09,8.310739,1226.608,8.750465
